Key,한국어원문,위치(Note),en,zh-TW,ja
FMT_CARDMANAGER_030,타겟 {0}명,RootDesk/MyDesk/Card/CardManager.mlua:18623,Targets {0} targets,目標 {0}個目標,ターゲット {0}体
FMT_CARDMANAGER_031,{0}치명타 20%,RootDesk/MyDesk/Card/CardManager.mlua:18632,{0}Critical 20%,{0}chi個目標擊 20%,{0}chi体ヒット 20%
FMT_CARDMANAGER_032,{0}광역,RootDesk/MyDesk/Card/CardManager.mlua:18636,{0}Area,{0}範圍,{0}範囲
FMT_CARDMANAGER_033,타겟 {0}명  |  범위 광역,RootDesk/MyDesk/Card/CardManager.mlua:18650,Targets {0} targets  |  Area,目標 {0}個目標  |  範圍,ターゲット {0}体  |  範囲
FMT_CARDMANAGER_034,{0}  |  출혈 {1}%/틱 (3초),RootDesk/MyDesk/Card/CardManager.mlua:18651,{0}  |  Bleed {1}%/tick (3s),{0}  |  流血 {1}%/跳 (3秒),{0}  |  出血 {1}%/ティック (3秒)
FMT_CARDMANAGER_035,{0}  |  25% 확률 2연타(2타 50%),RootDesk/MyDesk/Card/CardManager.mlua:18654,{0}  |  25% Chance 2 hits(2 hits 50%),{0}  |  25% 機率 2連擊(2擊 50%),{0}  |  25% 確率 2連打(2ヒット 50%)
FMT_CARDMANAGER_036,광역  |  {0}타,RootDesk/MyDesk/Card/CardManager.mlua:18658,Area  |  {0}hits,範圍  |  {0}擊,範囲  |  {0}ヒット
FMT_CARDMANAGER_037,{0}  |  넉백,RootDesk/MyDesk/Card/CardManager.mlua:18659,{0}  |  Knockback,{0}  |  擊退,{0}  |  ノックバック
FMT_CARDMANAGER_038,타겟 {0}명  |  속박 {1}초,RootDesk/MyDesk/Card/CardManager.mlua:18663,Targets {0} targets  |  Bind {1}s,目標 {0}個目標  |  束縛 {1}秒,ターゲット {0}体  |  拘束 {1}秒
FMT_CARDMANAGER_039,타겟 {0}명  |  빙결 스택+1,RootDesk/MyDesk/Card/CardManager.mlua:18665,Targets {0} targets  |  Freeze Stack+1,目標 {0}個目標  |  冰凍 層數+1,ターゲット {0}体  |  凍結 スタック+1
FMT_CARDMANAGER_040,타겟 {0}명  |  3연타  |  스턴 {1}% {2}초,RootDesk/MyDesk/Card/CardManager.mlua:18669,Targets {0} targets  |  3hits  |  Stun {1}% {2}s,目標 {0}個目標  |  3連擊  |  暈眩 {1}% {2}秒,ターゲット {0}体  |  3連打  |  スタン {1}% {2}秒
FMT_CARDMANAGER_041,"타겟 {0}명  |  슬로우, 빙결 스택2",RootDesk/MyDesk/Card/CardManager.mlua:18671,"Targets {0} targets  |  Slow, Freeze Stack2","目標 {0}個目標  |  緩速, 冰凍 層數2","ターゲット {0}体  |  スロー, 凍結 スタック2"
FMT_CARDMANAGER_042,연쇄 {0}명  |  치명타+20%  |  마지막 착탄 +{1}%,RootDesk/MyDesk/Card/CardManager.mlua:18674,Chain {0} targets  |  Critical+20%  |  Final impact +{1}%,連鎖 {0}個目標  |  chi個目標擊+20%  |  majimak 命中 +{1}%,連鎖 {0}体  |  chi体ヒット+20%  |  majimak 着弾 +{1}%
FMT_CARDMANAGER_043,고정 광역  |  {0}% 확률 2연타(2타 50%),RootDesk/MyDesk/Card/CardManager.mlua:18680,Fixed Area  |  {0}% Chance 2 hits(2 hits 50%),固定 範圍  |  {0}% 機率 2連擊(2擊 50%),固定 範囲  |  {0}% 確率 2連打(2ヒット 50%)
FMT_CARDMANAGER_044,타겟 {0}명  |  빙결 스택+1  |  추가타 대미지 {1}%,RootDesk/MyDesk/Card/CardManager.mlua:18683,Targets {0} targets  |  Freeze Stack+1  |  Additional Hit Damage {1}%,目標 {0}個目標  |  冰凍 層數+1  |  追加攻擊 傷害 {1}%,ターゲット {0}体  |  凍結 スタック+1  |  追加攻撃 ダメージ {1}%
FMT_CARDMANAGER_045,타겟 {0}명  |  속박 3초  |  추가타 대미지 {1}%,RootDesk/MyDesk/Card/CardManager.mlua:18686,Targets {0} targets  |  Bind 3s  |  Additional Hit Damage {1}%,目標 {0}個目標  |  束縛 3秒  |  追加攻擊 傷害 {1}%,ターゲット {0}体  |  拘束 3秒  |  追加攻撃 ダメージ {1}%
FMT_CARDMANAGER_046,화살 {0}발,RootDesk/MyDesk/Card/CardManager.mlua:18691,Arrows {0}shots,箭矢 {0}發,矢 {0}発
FMT_CARDMANAGER_047,{0}  |  강화 화살 {1}% ({2}% 대미지),RootDesk/MyDesk/Card/CardManager.mlua:18693,{0}  |  Enhanced Arrow {1}% ({2}% Damage),{0}  |  強化 箭矢 {1}% ({2}% 傷害),{0}  |  強化 矢 {1}% ({2}% ダメージ)
FMT_CARDMANAGER_048,착탄 {0}개  |  광역  |  슬로우 {1}% {2}초,RootDesk/MyDesk/Card/CardManager.mlua:18697,Impacts {0}  |  Area  |  Slow {1}% {2}s,命中 {0}  |  範圍  |  緩速 {1}% {2}秒,着弾 {0}  |  範囲  |  スロー {1}% {2}秒
FMT_CARDMANAGER_049,착탄 {0}개  |  광역  |  슬로우 대상 +{1}% 대미지,RootDesk/MyDesk/Card/CardManager.mlua:18703,Impacts {0}  |  Area  |  Slow target +{1}% Damage,命中 {0}  |  範圍  |  緩速 目標 +{1}% 傷害,着弾 {0}  |  範囲  |  スロー 対象 +{1}% ダメージ
FMT_CARDMANAGER_050,유지 {0}초  |  광역  |  슬로우 대상 +{1}% 대미지,RootDesk/MyDesk/Card/CardManager.mlua:18707,Duration {0}s  |  Area  |  Slow target +{1}% Damage,持續 {0}秒  |  範圍  |  緩速 目標 +{1}% 傷害,持続 {0}秒  |  範囲  |  スロー 対象 +{1}% ダメージ
FMT_CARDMANAGER_051,화살 {0}발  |  관통 {1}회,RootDesk/MyDesk/Card/CardManager.mlua:18709,Arrows {0}shots  |  Pierce {1}times,箭矢 {0}發  |  穿透 {1}次,矢 {0}発  |  貫通 {1}回
FMT_CARDMANAGER_052,착탄 {0}개  |  광역,RootDesk/MyDesk/Card/CardManager.mlua:18711,Impacts {0}  |  Area,命中 {0}  |  範圍,着弾 {0}  |  範囲
FMT_CARDMANAGER_053,화살 {0}발  |  관통 {1}회  |  크리티컬 +{2}%,RootDesk/MyDesk/Card/CardManager.mlua:18715,Arrows {0}shots  |  Pierce {1}times  |  Critical +{2}%,箭矢 {0}發  |  穿透 {1}次  |  暴擊 +{2}%,矢 {0}発  |  貫通 {1}回  |  クリティカル +{2}%
FMT_CARDMANAGER_054,착탄 {0}개  |  광역  |  크리티컬 +{1}%,RootDesk/MyDesk/Card/CardManager.mlua:18719,Impacts {0}  |  Area  |  Critical +{1}%,命中 {0}  |  範圍  |  暴擊 +{1}%,着弾 {0}  |  範囲  |  クリティカル +{1}%
FMT_CARDMANAGER_055,타겟 2명  |  넉백  |  타격 유닛 {0}%  |  광역 {1}% 대미지,RootDesk/MyDesk/Card/CardManager.mlua:18724,Targets 2 targets  |  Knockback  |  hitsgyeok unit {0}%  |  Area {1}% Damage,目標 2個目標  |  擊退  |  擊gyeok yunit {0}%  |  範圍 {1}% 傷害,ターゲット 2体  |  ノックバック  |  ヒットgyeok yunit {0}%  |  範囲 {1}% ダメージ
FMT_CARDMANAGER_056,타겟 {0}명  |  넉백  |  충돌 대상 {1}% 대미지,RootDesk/MyDesk/Card/CardManager.mlua:18726,Targets {0} targets  |  Knockback  |  Collision target {1}% Damage,目標 {0}個目標  |  擊退  |  碰撞 目標 {1}% 傷害,ターゲット {0}体  |  ノックバック  |  衝突 対象 {1}% ダメージ
FMT_CARDMANAGER_057,"착탄 {0}개  |  광역  |  슬로우, 스턴 {1}초  |  슬로우 대상 {2}% 대미지",RootDesk/MyDesk/Card/CardManager.mlua:18730,"Impacts {0}  |  Area  |  Slow, Stun {1}s  |  Slow target {2}% Damage","命中 {0}  |  範圍  |  緩速, 暈眩 {1}秒  |  緩速 目標 {2}% 傷害","着弾 {0}  |  範囲  |  スロー, スタン {1}秒  |  スロー 対象 {2}% ダメージ"
FMT_CARDMANAGER_058,유지 {0}초  |  광역  |  크리티컬 {1}%  |  슬로우 대상 {2}% 대미지,RootDesk/MyDesk/Card/CardManager.mlua:18735,Duration {0}s  |  Area  |  Critical {1}%  |  Slow target {2}% Damage,持續 {0}秒  |  範圍  |  暴擊 {1}%  |  緩速 目標 {2}% 傷害,持続 {0}秒  |  範囲  |  クリティカル {1}%  |  スロー 対象 {2}% ダメージ
FMT_CARDMANAGER_059,최대 {0}명 연사  |  추가 타격 {1}% ({2}% 대미지),RootDesk/MyDesk/Card/CardManager.mlua:18741,Max {0} targets Rapid fire  |  Additional Hit {1}% ({2}% Damage),最大 {0}個目標 連射  |  追加攻擊 {1}% ({2}% 傷害),最大 {0}体 連射  |  追加ヒット {1}% ({2}% ダメージ)
FMT_CARDMANAGER_060,연사 {0}발  |  강화 확률(화살마다) {1}%  |  강화 시 {2}연타({3}초 간격),RootDesk/MyDesk/Card/CardManager.mlua:18747,Rapid Fire {0} shots | Upgrade chance (per arrow) {1}% | When upgraded: {2} hits ({3}s interval),連射 {0}發 | 強化機率（每支箭）{1}% | 強化時：{2}連擊（間隔{3}秒）,連射 {0}発 | 強化確率（矢1本につき）{1}% | 強化時：{2}連打（{3}秒間隔）
FMT_CARDMANAGER_061,추가 공격 대미지 {0}%,RootDesk/MyDesk/Card/CardManager.mlua:18749,Additional Attack Damage {0}%,追加攻擊 傷害 {0}%,追加攻撃 ダメージ {0}%
FMT_CARDMANAGER_062,타겟 {0}명  |  콤보스택 +1,RootDesk/MyDesk/Card/CardManager.mlua:18751,Targets {0} targets  |  Combo Stack +1,目標 {0}個目標  |  連擊層數 +1,ターゲット {0}体  |  コンボスタック +1
FMT_CARDMANAGER_063,타겟 {0}명  |  광역  |  콤보스택 +1,RootDesk/MyDesk/Card/CardManager.mlua:18755,Targets {0} targets  |  Area  |  Combo Stack +1,目標 {0}個目標  |  範圍  |  連擊層數 +1,ターゲット {0}体  |  範囲  |  コンボスタック +1
FMT_CARDMANAGER_064,타겟 {0}명  |  넉백  |  타격 유닛 {1}% 대미지,RootDesk/MyDesk/Card/CardManager.mlua:18757,Targets {0} targets  |  Knockback  |  hitsgyeok unit {1}% Damage,目標 {0}個目標  |  擊退  |  擊gyeok yunit {1}% 傷害,ターゲット {0}体  |  ノックバック  |  ヒットgyeok yunit {1}% ダメージ
FMT_CARDMANAGER_065,타겟 {0}명  |  2연타(70%/50%)  |  {1}% 확률 4연타(60/50/40/30%),RootDesk/MyDesk/Card/CardManager.mlua:18761,Targets {0} targets  |  2 hits(70%/50%)  |  {1}% Chance 4hits(60/50/40/30%),目標 {0}個目標  |  2連擊(70%/50%)  |  {1}% 機率 4連擊(60/50/40/30%),ターゲット {0}体  |  2連打(70%/50%)  |  {1}% 確率 4連打(60/50/40/30%)
FMT_CARDMANAGER_066,타겟 {0}명  |  속박{1}초  |  콤보스택 +1,RootDesk/MyDesk/Card/CardManager.mlua:18763,Targets {0} targets  |  Bind{1}s  |  Combo Stack +1,目標 {0}個目標  |  束縛{1}秒  |  連擊層數 +1,ターゲット {0}体  |  拘束{1}秒  |  コンボスタック +1
FMT_CARDMANAGER_067,지속 {0}초  |  2연타(50%/50%)  |  광역,RootDesk/MyDesk/Card/CardManager.mlua:18765,Duration {0}s  |  2 hits(50%/50%)  |  Area,持續 {0}秒  |  2連擊(50%/50%)  |  範圍,持続 {0}秒  |  2連打(50%/50%)  |  範囲
FMT_CARDMANAGER_068,타겟 {0}명  |  콤보스택 +2  |  스턴 {1}초,RootDesk/MyDesk/Card/CardManager.mlua:18767,Targets {0} targets  |  Combo Stack +2  |  Stun {1}s,目標 {0}個目標  |  連擊層數 +2  |  暈眩 {1}秒,ターゲット {0}体  |  コンボスタック +2  |  スタン {1}秒
FMT_CARDMANAGER_069,타겟 {0}명  |  광역  |  2타 대미지 {1}%  |  콤보스택 +1,RootDesk/MyDesk/Card/CardManager.mlua:18769,Targets {0} targets  |  Area  |  2 hits Damage {1}%  |  Combo Stack +1,目標 {0}個目標  |  範圍  |  2擊 傷害 {1}%  |  連擊層數 +1,ターゲット {0}体  |  範囲  |  2ヒット ダメージ {1}%  |  コンボスタック +1
FMT_CARDMANAGER_070,넉백  |  타격 유닛 {0}%  |  광역 대미지 {1}%,RootDesk/MyDesk/Card/CardManager.mlua:18772,Knockback  |  hitsgyeok unit {0}%  |  Area Damage {1}%,擊退  |  擊gyeok yunit {0}%  |  範圍 傷害 {1}%,ノックバック  |  ヒットgyeok yunit {0}%  |  範囲 ダメージ {1}%
FMT_CARDMANAGER_071,타겟 {0}명  |  콤보스택 +2,RootDesk/MyDesk/Card/CardManager.mlua:18774,Targets {0} targets  |  Combo Stack +2,目標 {0}個目標  |  連擊層數 +2,ターゲット {0}体  |  コンボスタック +2
FMT_CARDMANAGER_072,타겟 {0}명  |  검기 {1}개  |  콤보스택 +1,RootDesk/MyDesk/Card/CardManager.mlua:18776,Targets {0} targets  |  Sword energy {1}  |  Combo Stack +1,目標 {0}個目標  |  劍氣 {1}個  |  連擊層數 +1,ターゲット {0}体  |  剣気 {1}個  |  コンボスタック +1
FMT_CARDMANAGER_073,타겟 {0}명  |  광역,RootDesk/MyDesk/Card/CardManager.mlua:18782,Targets {0} targets  |  Area,目標 {0}個目標  |  範圍,ターゲット {0}体  |  範囲
FMT_CARDMANAGER_074,타겟 {0}명  |  분열 {1}개({2}%),RootDesk/MyDesk/Card/CardManager.mlua:18785,Targets {0} targets  |  Splits {1}({2}%),目標 {0}個目標  |  分裂 {1}個({2}%),ターゲット {0}体  |  分裂 {1}個({2}%)
FMT_CARDMANAGER_075,지속 {0}초  |  추적  |  경로상 적 타격,RootDesk/MyDesk/Card/CardManager.mlua:18790,Duration {0}s  |  Homing  |  Hits enemies along the path,持續 {0}秒  |  追蹤  |  gyeong以sang 敵人 擊gyeok,持続 {0}秒  |  追尾  |  gyeongでsang 敵 ヒットgyeok
FMT_CARDMANAGER_076,지속 {0}초  |  추적  |  경로상 적 타격  |  소멸 시 폭발 {1}%(광역),RootDesk/MyDesk/Card/CardManager.mlua:18792,Duration {0}s | Tracking | Hits enemies along the path | Explodes on expiration for {1}% (AoE),持續 {0}秒 | 追蹤 | 攻擊路徑上的敵人 | 消失時爆炸 {1}%（範圍）,持続 {0}秒 | 追尾 | 経路上の敵に命中 | 消滅時に{1}%の範囲爆発
FMT_CARDMANAGER_077,타겟 1명  |  광역  |  스턴 {0}초({1}%),RootDesk/MyDesk/Card/CardManager.mlua:18796,Targets 1 targets  |  Area  |  Stun {0}s({1}%),目標 1個目標  |  範圍  |  暈眩 {0}秒({1}%),ターゲット 1体  |  範囲  |  スタン {0}秒({1}%)
FMT_CARDMANAGER_078,타겟 {0}명  |  속박 {1}초(100%)  |  보스·엘리트 지속 1/2,RootDesk/MyDesk/Card/CardManager.mlua:18799,Targets {0} targets  |  Bind {1}s(100%)  |  Boss·Elite Duration 1/2,目標 {0}個目標  |  束縛 {1}秒(100%)  |  首領·菁英 持續 1/2,ターゲット {0}体  |  拘束 {1}秒(100%)  |  ボス·エリート 持続 1/2
FMT_CARDMANAGER_079,타겟 {0}명  |  지속 {1}초  |  설치 광역(범위 점차 증가),RootDesk/MyDesk/Card/CardManager.mlua:18802,Targets {0} targets  |  Duration {1}s  |  Deploys Area(Area gradually expands),目標 {0}個目標  |  持續 {1}秒  |  設置 範圍(範圍 jeomcha 增加),ターゲット {0}体  |  持続 {1}秒  |  設置 範囲(範囲 jeomcha 増加)
FMT_CARDMANAGER_080,타겟 {0}명  |  지속 {1}초  |  설치 광역(범위 점차 증가)  |  출혈 {2}%/초({3}초),RootDesk/MyDesk/Card/CardManager.mlua:18805,Targets {0} targets  |  Duration {1}s  |  Deploys Area(Area gradually expands)  |  Bleed {2}%/s({3}s),目標 {0}個目標  |  持續 {1}秒  |  設置 範圍(範圍 jeomcha 增加)  |  流血 {2}%/秒({3}秒),ターゲット {0}体  |  持続 {1}秒  |  設置 範囲(範囲 jeomcha 増加)  |  出血 {2}%/秒({3}秒)
FMT_CARDMANAGER_081,타겟 {0}명  |  관통 {1}마리,RootDesk/MyDesk/Card/CardManager.mlua:18808,Targets {0} targets  |  Pierce {1}monsters,目標 {0}個目標  |  穿透 {1}隻,ターゲット {0}体  |  貫通 {1}体
FMT_CARDMANAGER_082,타겟 {0}명  |  4연타({1}% × 4)  |  크리 +{2}%,RootDesk/MyDesk/Card/CardManager.mlua:18810,Targets {0} targets  |  4hits({1}% × 4)  |  Crit +{2}%,目標 {0}個目標  |  4連擊({1}% × 4)  |  暴擊 +{2}%,ターゲット {0}体  |  4連打({1}% × 4)  |  クリティカル +{2}%
FMT_CARDMANAGER_083,{0}발  |  관통 {1}마리({2}/{3}/{4}/{5}%),RootDesk/MyDesk/Card/CardManager.mlua:18814,{0}shots  |  Pierce {1}monsters({2}/{3}/{4}/{5}%),{0}發  |  穿透 {1}隻({2}/{3}/{4}/{5}%),{0}発  |  貫通 {1}体({2}/{3}/{4}/{5}%)
FMT_CARDMANAGER_084,타겟 {0}명  |  속박 {1}초(100%)  |  해제 시 추가타 {2}~{3}%  |  보스·엘리트 지속 1/2,RootDesk/MyDesk/Card/CardManager.mlua:18817,Targets {0} | Bind for {1}s (100%) | Bonus hit on release {2}~{3}% | Boss/Elite duration 1/2,目標 {0}個 | 束縛 {1}秒（100%） | 解除時追加攻擊 {2}~{3}% | 首領・菁英持續時間 1/2,ターゲット {0}体 | {1}秒拘束（100%） | 解除時に追加攻撃 {2}～{3}% | ボス・エリート持続時間 1/2
FMT_CARDMANAGER_085,"타겟 {0}명  |  광역  |  스톰 {1}초 추적(닿으면 {2}%, 같은 대상 {3}초당 1회)",RootDesk/MyDesk/Card/CardManager.mlua:18820,"Targets {0} | AoE | Storm {1}s homing ({2}% on contact, once per {3}s against the same target)",目標 {0}個 | 範圍 | 風暴追蹤 {1}秒（命中時{2}%，同一目標每{3}秒1次）,ターゲット {0}体 | 範囲 | ストーム追尾 {1}秒（接触時{2}%、同じ対象には{3}秒に1回）
FMT_CARDMANAGER_086,타겟 {0}명  |  3연타(40/30/30%),RootDesk/MyDesk/Card/CardManager.mlua:18823,Targets {0} targets  |  3hits(40/30/30%),目標 {0}個目標  |  3連擊(40/30/30%),ターゲット {0}体  |  3連打(40/30/30%)
FMT_CARDMANAGER_087,타겟 {0}명  |  2연타({1}/{2}%),RootDesk/MyDesk/Card/CardManager.mlua:18826,Targets {0} targets  |  2 hits({1}/{2}%),目標 {0}個目標  |  2連擊({1}/{2}%),ターゲット {0}体  |  2連打({1}/{2}%)
FMT_CARDMANAGER_088,타겟 {0}명  |  5연타(각 {1}%)  |  광역,RootDesk/MyDesk/Card/CardManager.mlua:18832,Targets {0} | 5 hits ({1}% each) | AoE,目標 {0}個 | 5連擊（每次{1}%）| 範圍,ターゲット {0}体 | 5連打（各{1}%）| 範囲
FMT_CARDMANAGER_089,타겟 {0}명  |  명중 -{1}%(보스/엘리트 절반)  |  지속 {2}초  |  광역  |  추가 대미지 {3}%,RootDesk/MyDesk/Card/CardManager.mlua:18835,Targets {0} | Hit: -{1}% (half for bosses/elites) | Duration {2}s | AoE | Additional damage {3}%,目標 {0}個 | 命中時-{1}%（首領／菁英減半）| 持續{2}秒 | 範圍 | 額外傷害{3}%,ターゲット {0}体 | 命中時-{1}%（ボス・エリートは半減）| 持続{2}秒 | 範囲 | 追加ダメージ{3}%
FMT_CARDMANAGER_090,타겟 2명  |  크리티컬 확률 +{0}%  |  광역  |  메소 100%/아이템 50%,RootDesk/MyDesk/Card/CardManager.mlua:18838,Targets 2 targets  |  Critical Chance +{0}%  |  Area  |  Meso 100%/Item 50%,目標 2個目標  |  暴擊 機率 +{0}%  |  範圍  |  楓幣 100%/道具 50%,ターゲット 2体  |  クリティカル 確率 +{0}%  |  範囲  |  メル 100%/アイテム 50%
FMT_CARDMANAGER_091,메소 폭발  |  2연타(50/50%)  |  스턴 {0}% 확률 {1}초  |  기본 공격 시 30% 확률 메소 드랍,RootDesk/MyDesk/Card/CardManager.mlua:18841,Meso Explosion | 2 hits (50/50%) | Stun {0}% chance for {1}s | Basic attacks have a 30% chance to drop Mesos,楓幣爆炸 | 2連擊（50/50%） | 暈眩 {0}%機率，持續{1}秒 | 基本攻擊有30%機率掉落楓幣,メル爆発 | 2連打（50/50%） | {0}%の確率で{1}秒スタン | 通常攻撃時、30%の確率でメルをドロップ
FMT_CARDMANAGER_092,지속 {0}초  |  분신 소환 대미지  |  스킬 {1}%  |  기본공격 {2}%,RootDesk/MyDesk/Card/CardManager.mlua:18843,Duration {0}s  |  Clone Summon Damage  |  Skill {1}%  |  Basic Attack {2}%,持續 {0}秒  |  分身 召喚 傷害  |  技能 {1}%  |  普通攻擊 {2}%,持続 {0}秒  |  分身 召喚 ダメージ  |  スキル {1}%  |  通常攻撃 {2}%
