Key,Source,Note,ko,en,zh-TW,ja
MLUA_ACHIEVEMENTLOGIC_038,이스터에그 1개 발견,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:67,이스터에그 1개 발견,,,
MLUA_ACHIEVEMENTLOGIC_039,탐험가,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:68,탐험가,,,
MLUA_ACHIEVEMENTLOGIC_040,이스터에그 10개 발견,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:68,이스터에그 10개 발견,,,
MLUA_ACHIEVEMENTLOGIC_041,비밀 수집가,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:69,비밀 수집가,,,
MLUA_ACHIEVEMENTLOGIC_042,이스터에그 50개 발견,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:69,이스터에그 50개 발견,,,
MLUA_ACHIEVEMENTLOGIC_043,보물 사냥꾼,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:70,보물 사냥꾼,,,
MLUA_ACHIEVEMENTLOGIC_044,보물상자 10개 열기,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:70,보물상자 10개 열기,,,
MLUA_ACHIEVEMENTLOGIC_045,물약 애호가,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:72,물약 애호가,,,
MLUA_ACHIEVEMENTLOGIC_046,빨간·하얀 포션 50개 획득,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:72,빨간·하얀 포션 50개 획득,,,
MLUA_ACHIEVEMENTLOGIC_047,엘릭서 수집가,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:73,엘릭서 수집가,,,
MLUA_ACHIEVEMENTLOGIC_048,파워 엘릭서 10개 획득,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:73,파워 엘릭서 10개 획득,,,
MLUA_ACHIEVEMENTLOGIC_049,버프 마니아,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:74,버프 마니아,,,
MLUA_ACHIEVEMENTLOGIC_050,버프 포션 10개 획득,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:74,버프 포션 10개 획득,,,
MLUA_ACHIEVEMENTLOGIC_051,포션 소믈리에,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:75,포션 소믈리에,,,
MLUA_ACHIEVEMENTLOGIC_052,버프 포션 3종 모두 획득,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:75,버프 포션 3종 모두 획득,,,
MLUA_ACHIEVEMENTLOGIC_053,모험의 시작,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:77,모험의 시작,,,
MLUA_ACHIEVEMENTLOGIC_054,게임 10판 플레이,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:77,게임 10판 플레이,,,
MLUA_ACHIEVEMENTLOGIC_055,베테랑 모험가,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:78,베테랑 모험가,,,
MLUA_ACHIEVEMENTLOGIC_056,게임 100판 플레이,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:78,게임 100판 플레이,,,
MLUA_ACHIEVEMENTLOGIC_057,성장하는 모험가,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:79,성장하는 모험가,,,
MLUA_ACHIEVEMENTLOGIC_058,한 판에서 레벨 20 달성,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:79,한 판에서 레벨 20 달성,,,
MLUA_ACHIEVEMENTLOGIC_059,한계 돌파,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:80,한계 돌파,,,
MLUA_ACHIEVEMENTLOGIC_060,한 판에서 레벨 50 달성,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:80,한 판에서 레벨 50 달성,,,
MLUA_ACHIEVEMENTLOGIC_061,태초의 마을 수호자,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:81,태초의 마을 수호자,,,
MLUA_ACHIEVEMENTLOGIC_062,태초의 마을에서 15분 생존,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:81,태초의 마을에서 15분 생존,,,
MLUA_ACHIEVEMENTLOGIC_063,구름정원 수호자,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:82,구름정원 수호자,,,
MLUA_ACHIEVEMENTLOGIC_064,구름정원에서 15분 생존,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:82,구름정원에서 15분 생존,,,
MLUA_ACHIEVEMENTLOGIC_065,엘나스 수호자,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:83,엘나스 수호자,,,
MLUA_ACHIEVEMENTLOGIC_066,엘나스에서 15분 생존,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:83,엘나스에서 15분 생존,,,
MLUA_ACHIEVEMENTLOGIC_067,절제된 강함,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:84,절제된 강함,,,
MLUA_ACHIEVEMENTLOGIC_068,스킬 5개 이하로 15분 생존,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:84,스킬 5개 이하로 15분 생존,,,
MLUA_ACHIEVEMENTLOGIC_069,미니멀리스트,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:85,미니멀리스트,,,
MLUA_ACHIEVEMENTLOGIC_070,스킬 3개 이하로 10분 생존,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:85,스킬 3개 이하로 10분 생존,,,
MLUA_ACHIEVEMENTLOGIC_071,불굴의 의지,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:86,불굴의 의지,,,
MLUA_ACHIEVEMENTLOGIC_072,이어하기 없이 15분 생존,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:86,이어하기 없이 15분 생존,,,
MLUA_ACHIEVEMENTLOGIC_073,알뜰한 모험가,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:87,알뜰한 모험가,,,
MLUA_ACHIEVEMENTLOGIC_074,"게임 중 골드 누적 10,000 획득",RootDesk/MyDesk/Achievement/AchievementLogic.mlua:87,"게임 중 골드 누적 10,000 획득",,,
MLUA_ACHIEVEMENTLOGIC_075,메소 부자,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:88,메소 부자,,,
MLUA_ACHIEVEMENTLOGIC_076,"게임 중 골드 누적 100,000 획득",RootDesk/MyDesk/Achievement/AchievementLogic.mlua:88,"게임 중 골드 누적 100,000 획득",,,
MLUA_ACHIEVEMENTLOGIC_077,스킬 마스터,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:90,스킬 마스터,,,
MLUA_ACHIEVEMENTLOGIC_078,스킬 1개를 Lv5로 강화,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:90,스킬 1개를 Lv5로 강화,,,
MLUA_ACHIEVEMENTLOGIC_079,스킬 전문가,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:91,스킬 전문가,,,
MLUA_ACHIEVEMENTLOGIC_080,스킬 Lv5 달성 10회,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:91,스킬 Lv5 달성 10회,,,
MLUA_ACHIEVEMENTLOGIC_081,스킬의 달인,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:92,스킬의 달인,,,
MLUA_ACHIEVEMENTLOGIC_082,스킬 Lv5 달성 50회,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:92,스킬 Lv5 달성 50회,,,
MLUA_ACHIEVEMENTLOGIC_083,첫 조합,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:93,첫 조합,,,
MLUA_ACHIEVEMENTLOGIC_084,조합 스킬 1종 발견,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:93,조합 스킬 1종 발견,,,
MLUA_ACHIEVEMENTLOGIC_085,조합 연구가,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:94,조합 연구가,,,
MLUA_ACHIEVEMENTLOGIC_086,조합 스킬 10종 발견,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:94,조합 스킬 10종 발견,,,
MLUA_ACHIEVEMENTLOGIC_087,조합의 대가,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:95,조합의 대가,,,
MLUA_ACHIEVEMENTLOGIC_088,조합 스킬 20종 발견,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:95,조합 스킬 20종 발견,,,
MLUA_ACHIEVEMENTLOGIC_089,대장장이 견습생,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:97,대장장이 견습생,,,
MLUA_ACHIEVEMENTLOGIC_090,장비 강화 10회 성공,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:97,장비 강화 10회 성공,,,
MLUA_ACHIEVEMENTLOGIC_091,명장,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:98,명장,,,
MLUA_ACHIEVEMENTLOGIC_092,장비 강화 100회 성공,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:98,장비 강화 100회 성공,,,
MLUA_ACHIEVEMENTLOGIC_093,합성의 달인,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:99,합성의 달인,,,
MLUA_ACHIEVEMENTLOGIC_094,장비 합성 5회 성공,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:99,장비 합성 5회 성공,,,
MLUA_ACHIEVEMENTLOGIC_095,장비 수집가,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:100,장비 수집가,,,
MLUA_ACHIEVEMENTLOGIC_096,장비 50개 획득,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:100,장비 50개 획득,,,
MLUA_ACHIEVEMENTLOGIC_097,상인,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:101,상인,,,
MLUA_ACHIEVEMENTLOGIC_098,장비 100개 판매,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:101,장비 100개 판매,,,
MLUA_ACHIEVEMENTLOGIC_099,업적 사냥꾼,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:103,업적 사냥꾼,,,
MLUA_ACHIEVEMENTLOGIC_100,업적 30개 달성,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:103,업적 30개 달성,,,
MLUA_ACHIEVEMENTUI_001,업적,RootDesk/MyDesk/Achievement/AchievementUI.mlua:184,업적,Achievements,,
MLUA_ACHIEVEMENTUI_002,달성!,RootDesk/MyDesk/Achievement/AchievementUI.mlua:211,달성!,,,
MLUA_ACHIEVEMENTUI_003,받을 수 있는 업적 보상이 없어요,RootDesk/MyDesk/Achievement/AchievementUI.mlua:291,받을 수 있는 업적 보상이 없어요,,,
MLUA_ATTENDANCELOGIC_001,개,RootDesk/MyDesk/Attendance/AttendanceLogic.mlua:56 | RootDesk/MyDesk/Card/CardManager.mlua:25789,개,,,
MLUA_ATTENDANCEUI_001,완료,RootDesk/MyDesk/Attendance/AttendanceUI.mlua:120 | RootDesk/MyDesk/Attendance/AttendanceUI.mlua:232 | RootDesk/MyDesk/EpisodeReward/EpisodeRewardUI.mlua:173 | RootDesk/MyDesk/EpisodeReward/EpisodeRewardUI.mlua:375 | RootDesk/MyDesk/PlayerLevel/LevelRewardUI.mlua:234,완료,Done,,
MLUA_ATTENDANCEUI_002,내일 다시 받을 수 있어요,RootDesk/MyDesk/Attendance/AttendanceUI.mlua:183,내일 다시 받을 수 있어요,,,
MLUA_CARDMANAGER_001,기본 공격,RootDesk/MyDesk/Card/CardManager.mlua:26 | RootDesk/MyDesk/Card/CardManager.mlua:799 | RootDesk/MyDesk/Card/CardManager.mlua:829 | RootDesk/MyDesk/Card/CardManager.mlua:2712 | RootDesk/MyDesk/Card/CardManager.mlua:2741,기본 공격,Basic Attack,,
MLUA_CARDMANAGER_002,매직 클로,RootDesk/MyDesk/Card/CardManager.mlua:30 | RootDesk/MyDesk/Card/CardManager.mlua:15942 | RootDesk/MyDesk/Card/CardManager.mlua:18326,매직 클로,,,
MLUA_CARDMANAGER_003,콜드 빔,RootDesk/MyDesk/Card/CardManager.mlua:31 | RootDesk/MyDesk/Card/CardManager.mlua:15943 | RootDesk/MyDesk/SkillInventory.mlua:45,콜드 빔,,,
MLUA_CARDMANAGER_004,썬더 볼트,RootDesk/MyDesk/Card/CardManager.mlua:32 | RootDesk/MyDesk/Card/CardManager.mlua:15944 | RootDesk/MyDesk/SkillInventory.mlua:44,썬더 볼트,,,
MLUA_CARDMANAGER_005,메테오,RootDesk/MyDesk/Card/CardManager.mlua:33 | RootDesk/MyDesk/Card/CardManager.mlua:15945 | RootDesk/MyDesk/Card/CardManager.mlua:18332,메테오,,,
MLUA_CARDMANAGER_006,매직 부스터,RootDesk/MyDesk/Card/CardManager.mlua:332 | RootDesk/MyDesk/Card/CardManager.mlua:15946 | RootDesk/MyDesk/SkillInventory.mlua:41,매직 부스터,,,
MLUA_CARDMANAGER_007,매직 크리티컬,RootDesk/MyDesk/Card/CardManager.mlua:333 | RootDesk/MyDesk/Card/CardManager.mlua:15947 | RootDesk/MyDesk/SkillInventory.mlua:49,매직 크리티컬,,,
MLUA_CARDMANAGER_008,에너지볼트,RootDesk/MyDesk/Card/CardManager.mlua:345 | RootDesk/MyDesk/SkillInventory.mlua:47,에너지볼트,,,
MLUA_CARDMANAGER_009,프리징 이펙트,RootDesk/MyDesk/Card/CardManager.mlua:365 | RootDesk/MyDesk/SkillInventory.mlua:50,프리징 이펙트,,,
MLUA_CARDMANAGER_010,매직 아머,RootDesk/MyDesk/Card/CardManager.mlua:371 | RootDesk/MyDesk/SkillInventory.mlua:43,매직 아머,,,
MLUA_CARDMANAGER_011,메디테이션,RootDesk/MyDesk/Card/CardManager.mlua:377 | RootDesk/MyDesk/SkillInventory.mlua:51,메디테이션,,,
MLUA_CARDMANAGER_012,헤일 버스트,RootDesk/MyDesk/Card/CardManager.mlua:419 | RootDesk/MyDesk/SkillInventory.mlua:60,헤일 버스트,,,
MLUA_CARDMANAGER_013,아이스 커터,RootDesk/MyDesk/Card/CardManager.mlua:543 | RootDesk/MyDesk/SkillInventory.mlua:46,아이스 커터,,,
MLUA_CARDMANAGER_014,페페,RootDesk/MyDesk/Card/CardManager.mlua:566 | RootDesk/MyDesk/SkillInventory.mlua:52,페페,,,
MLUA_CARDMANAGER_015,썬더 커터,RootDesk/MyDesk/Card/CardManager.mlua:597 | RootDesk/MyDesk/SkillInventory.mlua:48,썬더 커터,,,
MLUA_CARDMANAGER_016,더블 커터,RootDesk/MyDesk/Card/CardManager.mlua:628 | RootDesk/MyDesk/SkillInventory.mlua:58,더블 커터,,,
MLUA_CARDMANAGER_017,킹페페,RootDesk/MyDesk/Card/CardManager.mlua:652 | RootDesk/MyDesk/SkillInventory.mlua:59,킹페페,,,
MLUA_CARDMANAGER_018,아쿠아 트랩,RootDesk/MyDesk/Card/CardManager.mlua:772 | RootDesk/MyDesk/SkillInventory.mlua:54,아쿠아 트랩,,,
MLUA_CARDMANAGER_019,슈리켄 버스트,RootDesk/MyDesk/Card/CardManager.mlua:2772 | RootDesk/MyDesk/Card/CardRegistry.mlua:405 | RootDesk/MyDesk/SkillInventory.mlua:135,슈리켄 버스트,,,
MLUA_CARDMANAGER_020,슈리켄 봄버,RootDesk/MyDesk/Card/CardManager.mlua:3026 | RootDesk/MyDesk/Card/CardRegistry.mlua:509 | RootDesk/MyDesk/SkillInventory.mlua:143,슈리켄 봄버,,,
MLUA_CARDMANAGER_021,윈드 탈리스만,RootDesk/MyDesk/Card/CardManager.mlua:3339 | RootDesk/MyDesk/Card/CardRegistry.mlua:411 | RootDesk/MyDesk/SkillInventory.mlua:137,윈드 탈리스만,,,
MLUA_CARDMANAGER_022,스톰 탈리스만,RootDesk/MyDesk/Card/CardManager.mlua:3555 | RootDesk/MyDesk/Card/CardRegistry.mlua:530 | RootDesk/MyDesk/SkillInventory.mlua:149,스톰 탈리스만,,,
MLUA_CARDMANAGER_023,쉐도우 스플릿,RootDesk/MyDesk/Card/CardManager.mlua:3844 | RootDesk/MyDesk/Card/CardRegistry.mlua:418 | RootDesk/MyDesk/SkillInventory.mlua:138,쉐도우 스플릿,,,
MLUA_CARDMANAGER_024,팬텀 스플릿,RootDesk/MyDesk/Card/CardManager.mlua:4140 | RootDesk/MyDesk/Card/CardRegistry.mlua:540 | RootDesk/MyDesk/SkillInventory.mlua:145,팬텀 스플릿,,,
MLUA_CARDMANAGER_025,스로잉 윙대거,RootDesk/MyDesk/Card/CardManager.mlua:4383 | RootDesk/MyDesk/Card/CardRegistry.mlua:425 | RootDesk/MyDesk/SkillInventory.mlua:139,스로잉 윙대거,,,
MLUA_CARDMANAGER_026,스로잉 붐대거,RootDesk/MyDesk/Card/CardManager.mlua:4640 | RootDesk/MyDesk/Card/CardRegistry.mlua:550 | RootDesk/MyDesk/SkillInventory.mlua:146,스로잉 붐대거,,,
MLUA_CARDMANAGER_027,쇼다운 챌린지,RootDesk/MyDesk/Card/CardManager.mlua:5026 | RootDesk/MyDesk/Card/CardRegistry.mlua:432 | RootDesk/MyDesk/SkillInventory.mlua:140,쇼다운 챌린지,,,
MLUA_CARDMANAGER_028,ShowdownChallengeFlip: SpriteRendererComponent is nil — 반전 적용 실패,[LOG] RootDesk/MyDesk/Card/CardManager.mlua:5183,ShowdownChallengeFlip: SpriteRendererComponent is nil — 반전 적용 실패,,,
MLUA_CARDMANAGER_029,쇼다운 임팩트,RootDesk/MyDesk/Card/CardManager.mlua:5356 | RootDesk/MyDesk/Card/CardRegistry.mlua:559 | RootDesk/MyDesk/SkillInventory.mlua:148,쇼다운 임팩트,,,
MLUA_CARDMANAGER_030,ShowdownImpactFlip: SpriteRendererComponent is nil — 반전 적용 실패,[LOG] RootDesk/MyDesk/Card/CardManager.mlua:5407,ShowdownImpactFlip: SpriteRendererComponent is nil — 반전 적용 실패,,,
MLUA_CARDMANAGER_031,스핀 스로우,RootDesk/MyDesk/Card/CardManager.mlua:5514 | RootDesk/MyDesk/Card/CardRegistry.mlua:439 | RootDesk/MyDesk/SkillInventory.mlua:141,스핀 스로우,,,
MLUA_CARDMANAGER_032,블러드 스로우,RootDesk/MyDesk/Card/CardManager.mlua:5704 | RootDesk/MyDesk/Card/CardRegistry.mlua:568 | RootDesk/MyDesk/SkillInventory.mlua:147,블러드 스로우,,,
MLUA_CARDMANAGER_033,쉐도우 트랩,RootDesk/MyDesk/Card/CardManager.mlua:5925 | RootDesk/MyDesk/Card/CardRegistry.mlua:446 | RootDesk/MyDesk/SkillInventory.mlua:136,쉐도우 트랩,,,
MLUA_CARDMANAGER_034,데스 트랩,RootDesk/MyDesk/Card/CardManager.mlua:6141 | RootDesk/MyDesk/Card/CardRegistry.mlua:519 | RootDesk/MyDesk/SkillInventory.mlua:144,데스 트랩,,,
MLUA_CARDMANAGER_035,럭키 세븐,RootDesk/MyDesk/Card/CardManager.mlua:6354 | RootDesk/MyDesk/Card/CardRegistry.mlua:399 | RootDesk/MyDesk/SkillInventory.mlua:134,럭키 세븐,,,
MLUA_CARDMANAGER_036,슈퍼 세븐,RootDesk/MyDesk/Card/CardManager.mlua:6492 | RootDesk/MyDesk/Card/CardRegistry.mlua:498 | RootDesk/MyDesk/SkillInventory.mlua:142,슈퍼 세븐,,,
MLUA_CARDMANAGER_037,무스펠하임,RootDesk/MyDesk/Card/CardManager.mlua:7171 | RootDesk/MyDesk/Card/CardRegistry.mlua:230 | RootDesk/MyDesk/SkillInventory.mlua:113,무스펠하임,,,
MLUA_CARDMANAGER_038,스카링 소드,RootDesk/MyDesk/Card/CardManager.mlua:9608 | RootDesk/MyDesk/Card/CardRegistry.mlua:90 | RootDesk/MyDesk/SkillInventory.mlua:94 | /ui/TitleGroup/SkillPanel/ScrollArea/List/SkillSlot_47/Name,스카링 소드,,,
MLUA_CARDMANAGER_039,바람의 시,RootDesk/MyDesk/Card/CardManager.mlua:10122 | RootDesk/MyDesk/SkillInventory.mlua:64 | /ui/TitleGroup/SkillPanel/ScrollArea/List/SkillSlot_20/Name,바람의 시,,,
MLUA_CARDMANAGER_040,폭풍의 시,RootDesk/MyDesk/Card/CardManager.mlua:10219 | RootDesk/MyDesk/SkillInventory.mlua:74 | /ui/TitleGroup/SkillPanel/ScrollArea/List/SkillSlot_30/Name,폭풍의 시,,,
MLUA_CARDMANAGER_041,애로우 블로우,RootDesk/MyDesk/Card/CardManager.mlua:10447 | RootDesk/MyDesk/SkillInventory.mlua:65 | /ui/TitleGroup/SkillPanel/ScrollArea/List/SkillSlot_21/Name,애로우 블로우,,,
MLUA_CARDMANAGER_042,강화 애로우 블로우,RootDesk/MyDesk/Card/CardManager.mlua:10623 | RootDesk/MyDesk/SkillInventory.mlua:75 | /ui/TitleGroup/SkillPanel/ScrollArea/List/SkillSlot_31/Name,강화 애로우 블로우,,,
MLUA_CARDMANAGER_043,아이스 퀴버,RootDesk/MyDesk/Card/CardManager.mlua:10849 | RootDesk/MyDesk/SkillInventory.mlua:66 | /ui/TitleGroup/SkillPanel/ScrollArea/List/SkillSlot_22/Name,아이스 퀴버,,,
MLUA_CARDMANAGER_044,파이어 퀴버,RootDesk/MyDesk/Card/CardManager.mlua:10984 | RootDesk/MyDesk/SkillInventory.mlua:67 | /ui/TitleGroup/SkillPanel/ScrollArea/List/SkillSlot_23/Name,파이어 퀴버,,,
MLUA_CARDMANAGER_045,애로우 일루전,RootDesk/MyDesk/Card/CardManager.mlua:11134,애로우 일루전,,,
MLUA_CARDMANAGER_046,피닉스,RootDesk/MyDesk/Card/CardManager.mlua:11354 | RootDesk/MyDesk/SkillInventory.mlua:68 | /ui/TitleGroup/SkillPanel/ScrollArea/List/SkillSlot_24/Name,피닉스,,,
