Key,Source,Note,ko,en,zh-tw,ja
MLUA_ACHIEVEMENTLOGIC_023,돼지 몰이꾼,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:59,돼지 몰이꾼,Pig Herder,趕豬人,ブタ追い
MLUA_ACHIEVEMENTLOGIC_024,돼지·멧돼지류 몬스터 100마리 처치,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:59,돼지·멧돼지류 몬스터 100마리 처치,Defeat 100 pig/boar-type monsters,擊敗100隻豬·野豬類怪物,ブタ・イノシシ系モンスターを100体討伐
MLUA_ACHIEVEMENTLOGIC_025,말랑말랑,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:60,말랑말랑,Squishy,軟綿綿,ぷにぷに
MLUA_ACHIEVEMENTLOGIC_026,슬라임류 몬스터 100마리 처치,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:60,슬라임류 몬스터 100마리 처치,Defeat 100 slime-type monsters,擊敗100隻史萊姆類怪物,スライム系モンスターを100体討伐
MLUA_ACHIEVEMENTLOGIC_027,벌목꾼,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:61,벌목꾼,Lumberjack,伐木工,木こり
MLUA_ACHIEVEMENTLOGIC_028,스텀프류 몬스터 100마리 처치,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:61,스텀프류 몬스터 100마리 처치,Defeat 100 stump-type monsters,擊敗100隻木妖類怪物,スタンプ系モンスターを100体討伐
MLUA_ACHIEVEMENTLOGIC_029,픽시 사냥꾼,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:62,픽시 사냥꾼,Pixie Hunter,精靈獵人,ピクシーハンター
MLUA_ACHIEVEMENTLOGIC_030,픽시류 몬스터 200마리 처치,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:62,픽시류 몬스터 200마리 처치,Defeat 200 pixie-type monsters,擊敗200隻精靈類怪物,ピクシー系モンスターを200体討伐
MLUA_ACHIEVEMENTLOGIC_031,식물학자,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:63,식물학자,Botanist,植物學家,植物学者
MLUA_ACHIEVEMENTLOGIC_032,네펜데스류 몬스터 100마리 처치,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:63,네펜데스류 몬스터 100마리 처치,Defeat 100 Nependeath-type monsters,擊敗100隻奈本德斯類怪物,ネペンデス系モンスターを100体討伐
MLUA_ACHIEVEMENTLOGIC_033,돌깨는 자,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:64,돌깨는 자,Rock Breaker,碎石者,岩砕き
MLUA_ACHIEVEMENTLOGIC_034,골렘류 몬스터 100마리 처치,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:64,골렘류 몬스터 100마리 처치,Defeat 100 golem-type monsters,擊敗100隻石巨人類怪物,ゴーレム系モンスターを100体討伐
MLUA_ACHIEVEMENTLOGIC_035,설원의 사냥꾼,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:65,설원의 사냥꾼,Snowfield Hunter,雪原獵人,雪原のハンター
MLUA_ACHIEVEMENTLOGIC_036,예티류 몬스터 100마리 처치,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:65,예티류 몬스터 100마리 처치,Defeat 100 yeti-type monsters,擊敗100隻雪人類怪物,イエティ系モンスターを100体討伐
MLUA_ACHIEVEMENTLOGIC_037,숨은 비밀 발견,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:67,숨은 비밀 발견,Hidden Secret Found,發現隱藏的秘密,隠された秘密を発見
MLUA_ACHIEVEMENTLOGIC_038,이스터에그 1개 발견,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:67,이스터에그 1개 발견,Find 1 Easter Egg,發現1個彩蛋,イースターエッグを1個発見
MLUA_ACHIEVEMENTLOGIC_039,탐험가,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:68,탐험가,Explorer,探險家,探検家
MLUA_ACHIEVEMENTLOGIC_040,이스터에그 10개 발견,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:68,이스터에그 10개 발견,Find 10 Easter Eggs,發現10個彩蛋,イースターエッグを10個発見
MLUA_ACHIEVEMENTLOGIC_041,비밀 수집가,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:69,비밀 수집가,Secret Collector,秘密收藏家,秘密コレクター
MLUA_ACHIEVEMENTLOGIC_042,이스터에그 50개 발견,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:69,이스터에그 50개 발견,Find 50 Easter Eggs,發現50個彩蛋,イースターエッグを50個発見
MLUA_ACHIEVEMENTLOGIC_043,보물 사냥꾼,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:70,보물 사냥꾼,Treasure Hunter,寶藏獵人,トレジャーハンター
MLUA_ACHIEVEMENTLOGIC_044,보물상자 10개 열기,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:70,보물상자 10개 열기,Open 10 Treasure Chests,打開10個寶箱,宝箱を10個開ける
MLUA_ACHIEVEMENTLOGIC_045,물약 애호가,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:72,물약 애호가,Potion Lover,藥水愛好者,ポーション愛好家
MLUA_ACHIEVEMENTLOGIC_046,빨간·하얀 포션 50개 획득,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:72,빨간·하얀 포션 50개 획득,Obtain 50 Red/White Potions,獲得50瓶紅色·白色藥水,赤・白ポーションを50個獲得
MLUA_ACHIEVEMENTLOGIC_047,엘릭서 수집가,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:73,엘릭서 수집가,Elixir Collector,萬能藥水收藏家,エリクサーコレクター
MLUA_ACHIEVEMENTLOGIC_048,파워 엘릭서 10개 획득,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:73,파워 엘릭서 10개 획득,Obtain 10 Power Elixirs,獲得10瓶超級萬能藥水,パワーエリクサーを10個獲得
MLUA_ACHIEVEMENTLOGIC_049,버프 마니아,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:74,버프 마니아,Buff Maniac,增益狂熱者,バフマニア
MLUA_ACHIEVEMENTLOGIC_050,버프 포션 10개 획득,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:74,버프 포션 10개 획득,Obtain 10 Buff Potions,獲得10瓶增益藥水,バフポーションを10個獲得
MLUA_ACHIEVEMENTLOGIC_051,포션 소믈리에,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:75,포션 소믈리에,Potion Sommelier,藥水品鑑師,ポーションソムリエ
MLUA_ACHIEVEMENTLOGIC_052,버프 포션 3종 모두 획득,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:75,버프 포션 3종 모두 획득,Obtain all 3 types of Buff Potions,獲得全部3種增益藥水,バフポーション3種をすべて獲得
MLUA_ACHIEVEMENTLOGIC_053,모험의 시작,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:77,모험의 시작,Start of an Adventure,冒險的開始,冒険のはじまり
MLUA_ACHIEVEMENTLOGIC_054,게임 10판 플레이,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:77,게임 10판 플레이,Play 10 games,遊玩10場,10回プレイ
MLUA_ACHIEVEMENTLOGIC_055,베테랑 모험가,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:78,베테랑 모험가,Veteran Adventurer,老練冒險家,ベテラン冒険家
MLUA_ACHIEVEMENTLOGIC_056,게임 100판 플레이,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:78,게임 100판 플레이,Play 100 games,遊玩100場,100回プレイ
MLUA_ACHIEVEMENTLOGIC_057,성장하는 모험가,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:79,성장하는 모험가,Growing Adventurer,成長中的冒險家,成長する冒険家
MLUA_ACHIEVEMENTLOGIC_058,한 판에서 레벨 20 달성,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:79,한 판에서 레벨 20 달성,Reach Level 20 in a single run,單場達到等級20,1プレイでレベル20に到達
MLUA_ACHIEVEMENTLOGIC_059,한계 돌파,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:80,한계 돌파,Breaking Limits,突破極限,限界突破
MLUA_ACHIEVEMENTLOGIC_060,한 판에서 레벨 50 달성,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:80,한 판에서 레벨 50 달성,Reach Level 50 in a single run,單場達到等級50,1プレイでレベル50に到達
MLUA_ACHIEVEMENTLOGIC_061,태초의 마을 수호자,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:81,태초의 마을 수호자,Guardian of the Village of Beginnings,起源之村守護者,はじまりの村の守護者
MLUA_ACHIEVEMENTLOGIC_062,태초의 마을에서 15분 생존,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:81,태초의 마을에서 15분 생존,Survive 15 min in the Village of Beginnings,在起源之村存活15分鐘,はじまりの村で15分間生存
MLUA_ACHIEVEMENTLOGIC_063,구름정원 수호자,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:82,구름정원 수호자,Guardian of the Cloud Garden,雲之庭園守護者,雲の庭園の守護者
MLUA_ACHIEVEMENTLOGIC_064,구름정원에서 15분 생존,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:82,구름정원에서 15분 생존,Survive 15 min in the Cloud Garden,在雲之庭園存活15分鐘,雲の庭園で15分間生存
MLUA_ACHIEVEMENTLOGIC_065,엘나스 수호자,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:83,엘나스 수호자,Guardian of El Nath,冰原雪域守護者,エルナスの守護者
MLUA_ACHIEVEMENTLOGIC_066,엘나스에서 15분 생존,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:83,엘나스에서 15분 생존,Survive 15 min in El Nath,在冰原雪域存活15分鐘,エルナスで15分間生存
MLUA_ACHIEVEMENTLOGIC_067,절제된 강함,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:84,절제된 강함,Restrained Strength,克制的強大,抑えた強さ
MLUA_ACHIEVEMENTLOGIC_068,스킬 5개 이하로 15분 생존,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:84,스킬 5개 이하로 15분 생존,Survive 15 min with 5 or fewer skills,以5個以下的技能存活15分鐘,スキル5個以下で15分間生存
MLUA_ACHIEVEMENTLOGIC_069,미니멀리스트,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:85,미니멀리스트,Minimalist,極簡主義者,ミニマリスト
MLUA_ACHIEVEMENTLOGIC_070,스킬 3개 이하로 10분 생존,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:85,스킬 3개 이하로 10분 생존,Survive 10 min with 3 or fewer skills,以3個以下的技能存活10分鐘,スキル3個以下で10分間生存
MLUA_ACHIEVEMENTLOGIC_071,불굴의 의지,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:86,불굴의 의지,Indomitable Will,不屈的意志,不屈の意志
MLUA_ACHIEVEMENTLOGIC_072,이어하기 없이 15분 생존,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:86,이어하기 없이 15분 생존,Survive 15 min without continuing,不使用接關存活15分鐘,コンティニューなしで15分間生存
MLUA_ACHIEVEMENTLOGIC_073,알뜰한 모험가,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:87,알뜰한 모험가,Thrifty Adventurer,節儉的冒險家,倹約家の冒険者
MLUA_ACHIEVEMENTLOGIC_074,게임 중 골드 누적 1만 획득,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:87,게임 중 골드 누적 1만 획득,Earn a total of 10K Gold in games,遊戲中累計獲得1萬金幣,ゲーム中にゴールドを累計1万獲得
MLUA_ACHIEVEMENTLOGIC_075,메소 부자,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:88,메소 부자,Meso Tycoon,楓幣富翁,メル長者
MLUA_ACHIEVEMENTLOGIC_076,게임 중 골드 누적 10만 획득,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:88,게임 중 골드 누적 10만 획득,Earn a total of 100K Gold in games,遊戲中累計獲得10萬金幣,ゲーム中にゴールドを累計10万獲得
MLUA_ACHIEVEMENTLOGIC_077,스킬 마스터,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:90,스킬 마스터,Skill Master,技能大師,スキルマスター
MLUA_ACHIEVEMENTLOGIC_078,스킬 1개를 Lv5로 강화,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:90,스킬 1개를 Lv5로 강화,Upgrade a skill to Lv5,將1個技能強化至Lv5,スキル1個をLv5に強化
MLUA_ACHIEVEMENTLOGIC_079,스킬 전문가,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:91,스킬 전문가,Skill Expert,技能專家,スキルエキスパート
MLUA_ACHIEVEMENTLOGIC_080,스킬 Lv5 달성 10회,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:91,스킬 Lv5 달성 10회,Reach skill Lv5 10 times,技能達到Lv5共10次,スキルLv5到達 10回
MLUA_ACHIEVEMENTLOGIC_081,스킬의 달인,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:92,스킬의 달인,Master of Skills,技能達人,スキルの達人
MLUA_ACHIEVEMENTLOGIC_082,스킬 Lv5 달성 50회,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:92,스킬 Lv5 달성 50회,Reach skill Lv5 50 times,技能達到Lv5共50次,スキルLv5到達 50回
MLUA_ACHIEVEMENTLOGIC_083,첫 조합,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:93,첫 조합,First Fusion,首次組合,初めての組み合わせ
MLUA_ACHIEVEMENTLOGIC_084,조합 스킬 1종 발견,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:93,조합 스킬 1종 발견,Discover 1 Fusion Skill,發現1種組合技能,組み合わせスキルを1種発見
MLUA_ACHIEVEMENTLOGIC_085,조합 연구가,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:94,조합 연구가,Fusion Researcher,組合研究家,組み合わせ研究家
MLUA_ACHIEVEMENTLOGIC_086,조합 스킬 10종 발견,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:94,조합 스킬 10종 발견,Discover 10 Fusion Skills,發現10種組合技能,組み合わせスキルを10種発見
MLUA_ACHIEVEMENTLOGIC_087,조합의 대가,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:95,조합의 대가,Fusion Grandmaster,組合大師,組み合わせの大家
MLUA_ACHIEVEMENTLOGIC_088,조합 스킬 20종 발견,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:95,조합 스킬 20종 발견,Discover 20 Fusion Skills,發現20種組合技能,組み合わせスキルを20種発見
MLUA_ACHIEVEMENTLOGIC_089,대장장이 견습생,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:97,대장장이 견습생,Apprentice Blacksmith,見習鐵匠,見習い鍛冶屋
MLUA_ACHIEVEMENTLOGIC_090,장비 강화 10회 성공,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:97,장비 강화 10회 성공,Succeed at equipment enhancement 10 times,裝備強化成功10次,装備強化に10回成功
MLUA_ACHIEVEMENTLOGIC_091,명장,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:98,명장,Master Craftsman,名匠,名匠
MLUA_ACHIEVEMENTLOGIC_092,장비 강화 100회 성공,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:98,장비 강화 100회 성공,Succeed at equipment enhancement 100 times,裝備強化成功100次,装備強化に100回成功
MLUA_ACHIEVEMENTLOGIC_093,합성의 달인,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:99,합성의 달인,Master of Synthesis,合成達人,合成の達人
MLUA_ACHIEVEMENTLOGIC_094,장비 합성 5회 성공,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:99,장비 합성 5회 성공,Succeed at equipment synthesis 5 times,裝備合成成功5次,装備合成に5回成功
MLUA_ACHIEVEMENTLOGIC_095,장비 수집가,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:100,장비 수집가,Equipment Collector,裝備收藏家,装備コレクター
MLUA_ACHIEVEMENTLOGIC_096,장비 50개 획득,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:100,장비 50개 획득,Obtain 50 pieces of equipment,獲得50件裝備,装備を50個獲得
MLUA_ACHIEVEMENTLOGIC_097,상인,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:101,상인,Merchant,商人,商人
MLUA_ACHIEVEMENTLOGIC_098,장비 100개 판매,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:101,장비 100개 판매,Sell 100 pieces of equipment,販售100件裝備,装備を100個売却
MLUA_ACHIEVEMENTLOGIC_099,업적 사냥꾼,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:103,업적 사냥꾼,Achievement Hunter,成就獵人,実績ハンター
MLUA_ACHIEVEMENTLOGIC_100,업적 30개 달성,RootDesk/MyDesk/Achievement/AchievementLogic.mlua:103,업적 30개 달성,Complete 30 achievements,達成30個成就,実績を30個達成
MLUA_ACHIEVEMENTUI_001,업적,RootDesk/MyDesk/Achievement/AchievementUI.mlua:184,업적,Achievements,,
MLUA_ACHIEVEMENTUI_002,달성!,RootDesk/MyDesk/Achievement/AchievementUI.mlua:211,달성!,Complete!,達成！,達成！
MLUA_ACHIEVEMENTUI_003,받을 수 있는 업적 보상이 없어요,RootDesk/MyDesk/Achievement/AchievementUI.mlua:291,받을 수 있는 업적 보상이 없어요,No achievement rewards to claim,沒有可領取的成就獎勵,受け取れる実績報酬がありません
MLUA_ATTENDANCELOGIC_001,개,RootDesk/MyDesk/Attendance/AttendanceLogic.mlua:56 | RootDesk/MyDesk/Card/CardManager.mlua:25789,개,,,
MLUA_ATTENDANCEUI_001,완료,RootDesk/MyDesk/Attendance/AttendanceUI.mlua:120 | RootDesk/MyDesk/Attendance/AttendanceUI.mlua:232 | RootDesk/MyDesk/EpisodeReward/EpisodeRewardUI.mlua:173 | RootDesk/MyDesk/EpisodeReward/EpisodeRewardUI.mlua:375 | RootDesk/MyDesk/PlayerLevel/LevelRewardUI.mlua:234,완료,Done,完成,完了
MLUA_ATTENDANCEUI_002,내일 다시 받을 수 있어요,RootDesk/MyDesk/Attendance/AttendanceUI.mlua:183,내일 다시 받을 수 있어요,Come back tomorrow to claim again,明天可以再次領取,明日また受け取れます
MLUA_CARDMANAGER_001,기본 공격,RootDesk/MyDesk/Card/CardManager.mlua:26 | RootDesk/MyDesk/Card/CardManager.mlua:799 | RootDesk/MyDesk/Card/CardManager.mlua:829 | RootDesk/MyDesk/Card/CardManager.mlua:2712 | RootDesk/MyDesk/Card/CardManager.mlua:2741,기본 공격,Basic Attack,普通攻擊,通常攻撃
MLUA_CARDMANAGER_002,매직 클로,RootDesk/MyDesk/Card/CardManager.mlua:30 | RootDesk/MyDesk/Card/CardManager.mlua:15942 | RootDesk/MyDesk/Card/CardManager.mlua:18326,매직 클로,Magic Claw,魔力爪,マジッククロー
MLUA_CARDMANAGER_003,콜드 빔,RootDesk/MyDesk/Card/CardManager.mlua:31 | RootDesk/MyDesk/Card/CardManager.mlua:15943 | RootDesk/MyDesk/SkillInventory.mlua:45,콜드 빔,Cold Beam,寒冰光束,コールドビーム
MLUA_CARDMANAGER_004,썬더 볼트,RootDesk/MyDesk/Card/CardManager.mlua:32 | RootDesk/MyDesk/Card/CardManager.mlua:15944 | RootDesk/MyDesk/SkillInventory.mlua:44,썬더 볼트,Thunder Bolt,雷電術,サンダーボルト
MLUA_CARDMANAGER_005,메테오,RootDesk/MyDesk/Card/CardManager.mlua:33 | RootDesk/MyDesk/Card/CardManager.mlua:15945 | RootDesk/MyDesk/Card/CardManager.mlua:18332,메테오,Meteor,流星,メテオ
MLUA_CARDMANAGER_006,매직 부스터,RootDesk/MyDesk/Card/CardManager.mlua:332 | RootDesk/MyDesk/Card/CardManager.mlua:15946 | RootDesk/MyDesk/SkillInventory.mlua:41,매직 부스터,Magic Booster,魔法加速,マジックブースター
MLUA_CARDMANAGER_007,매직 크리티컬,RootDesk/MyDesk/Card/CardManager.mlua:333 | RootDesk/MyDesk/Card/CardManager.mlua:15947 | RootDesk/MyDesk/SkillInventory.mlua:49,매직 크리티컬,Magic Critical,魔法爆擊,マジッククリティカル
MLUA_CARDMANAGER_008,에너지볼트,RootDesk/MyDesk/Card/CardManager.mlua:345 | RootDesk/MyDesk/SkillInventory.mlua:47,에너지볼트,Energy Bolt,能量彈,エナジーボルト
MLUA_CARDMANAGER_009,프리징 이펙트,RootDesk/MyDesk/Card/CardManager.mlua:365 | RootDesk/MyDesk/SkillInventory.mlua:50,프리징 이펙트,Freezing Effect,冰凍效果,フリージングエフェクト
MLUA_CARDMANAGER_010,매직 아머,RootDesk/MyDesk/Card/CardManager.mlua:371 | RootDesk/MyDesk/SkillInventory.mlua:43,매직 아머,Magic Armor,魔法鎧甲,マジックアーマー
MLUA_CARDMANAGER_011,메디테이션,RootDesk/MyDesk/Card/CardManager.mlua:377 | RootDesk/MyDesk/SkillInventory.mlua:51,메디테이션,Meditation,精神集中,メディテーション
MLUA_CARDMANAGER_012,헤일 버스트,RootDesk/MyDesk/Card/CardManager.mlua:419 | RootDesk/MyDesk/SkillInventory.mlua:60,헤일 버스트,Hail Burst,冰雹爆發,ヘイルバースト
MLUA_CARDMANAGER_013,아이스 커터,RootDesk/MyDesk/Card/CardManager.mlua:543 | RootDesk/MyDesk/SkillInventory.mlua:46,아이스 커터,Ice Cutter,冰刃,アイスカッター
MLUA_CARDMANAGER_014,페페,RootDesk/MyDesk/Card/CardManager.mlua:566 | RootDesk/MyDesk/SkillInventory.mlua:52,페페,Pepe,佩佩,ペペ
MLUA_CARDMANAGER_015,썬더 커터,RootDesk/MyDesk/Card/CardManager.mlua:597 | RootDesk/MyDesk/SkillInventory.mlua:48,썬더 커터,Thunder Cutter,雷刃,サンダーカッター
MLUA_CARDMANAGER_016,더블 커터,RootDesk/MyDesk/Card/CardManager.mlua:628 | RootDesk/MyDesk/SkillInventory.mlua:58,더블 커터,Double Cutter,雙重刃,ダブルカッター
MLUA_CARDMANAGER_017,킹페페,RootDesk/MyDesk/Card/CardManager.mlua:652 | RootDesk/MyDesk/SkillInventory.mlua:59,킹페페,King Pepe,國王佩佩,キングペペ
MLUA_CARDMANAGER_018,아쿠아 트랩,RootDesk/MyDesk/Card/CardManager.mlua:772 | RootDesk/MyDesk/SkillInventory.mlua:54,아쿠아 트랩,Aqua Trap,水之陷阱,アクアトラップ
MLUA_CARDMANAGER_019,슈리켄 버스트,RootDesk/MyDesk/Card/CardManager.mlua:2772 | RootDesk/MyDesk/Card/CardRegistry.mlua:405 | RootDesk/MyDesk/SkillInventory.mlua:135,슈리켄 버스트,Shuriken Burst,手裏劍爆發,シュリケンバースト
MLUA_CARDMANAGER_020,슈리켄 봄버,RootDesk/MyDesk/Card/CardManager.mlua:3026 | RootDesk/MyDesk/Card/CardRegistry.mlua:509 | RootDesk/MyDesk/SkillInventory.mlua:143,슈리켄 봄버,Shuriken Bomber,手裏劍轟炸,シュリケンボンバー
