MLUA_PLAYERINVENTORY_064	Salion's Tail	沙里昂的尾巴	サリオンのしっぽ
MLUA_PLAYERINVENTORY_099	Dark Yeti's Horn	黑暗雪人的角	ダークイエティの角
MLUA_PLAYERINVENTORY_100	Ice Shard	冰塊	氷のかけら
MLUA_PLAYERINVENTORY_101	Frigid Ice Shard	冰冷的冰塊	冷たい氷のかけら
MLUA_PLAYERINVENTORY_102	Werewolf's Claw	狼人的爪子	ウェアウルフの爪
MLUA_PLAYERINVENTORY_103	Lycanthrope's Claw	狼化人的爪子	ライカンスロープの爪
MLUA_PLAYERINVENTORY_104	Snowflake Crystal	雪花結晶	雪の結晶
MLUA_PLAYERINVENTORY_105	Flyeye's Eyeball	飛眼怪的眼珠	フライアイの目玉
MLUA_PLAYERINVENTORY_106	Reindeer's Antler	馴鹿的鹿角	トナカイの角
MLUA_PLAYERINVENTORY_107	Blood Reindeer's Bell	血色馴鹿的鈴鐺	ブラッドトナカイの鈴
MLUA_PLAYERINVENTORY_108	Zombie's Lost Molar	殭屍遺失的臼齒	ゾンビがなくした奥歯
MLUA_PLAYERINVENTORY_109	Zombie's Lost Gold Tooth	殭屍遺失的金牙	ゾンビがなくした金歯
MLUA_PLAYERINVENTORY_110	Mimic's Glass Bottle	擬態怪的玻璃瓶	ミミックのガラス瓶
MLUA_PLAYERINVENTORY_111	Invitation	邀請函	招待状
MLUA_PLAYERINVENTORY_112	Token of Qualification	資格的證明	資格の証
MLUA_RAIDLOGIC_001	Your characters have revived! Attacking the Boss again	角色們復活了！再次攻擊首領	キャラクターが復活しました！再びボスを攻撃します
MLUA_RAIDLOGIC_005	No raid rewards to claim right now	目前沒有可領取的突襲獎勵	現在受け取れるレイド報酬はありません
MLUA_RAIDTUTORIALUI_001	A raid has been created!	突襲已建立！	レイドが作成されました！
MLUA_RAIDUI_001	Boss HP	首領體力	ボスHP
MLUA_RAIDUI_002	Settling	結算中	精算中
MLUA_RANKUI_001	No record	沒有紀錄	記録なし
MLUA_RANKUI_003	Tallying	統計中	集計中
MLUA_RANKUI_004	Adventurer	冒險家	冒険者
MLUA_RELICINVENTORY_001	Cygnus's Handkerchief	西格諾斯的手帕	シグナスのハンカチ
MLUA_RELICINVENTORY_002	Everlasting Snowflower	萬年雪花	万年雪の花
MLUA_RELICINVENTORY_003	Simon's Chair	賽門的椅子	サイモンの椅子
MLUA_RELICINVENTORY_004	Rune	符文	ルーン
MLUA_RELICINVENTORY_005	Sealed Orb	被封印的寶珠	封印されたオーブ
MLUA_RELICINVENTORY_006	Jar of Wisdom	智慧之壺	知恵の壺
MLUA_RELICINVENTORY_007	Stone of Eos	艾歐斯之石	エオスの石
MLUA_RELICINVENTORY_008	Golden Card	黃金卡片	黄金のカード
MLUA_RELICINVENTORY_009	Holy Grail	聖杯	聖杯
MLUA_RELICINVENTORY_010	Magic Stone of Power	力量魔法石	力の魔法石
MLUA_RELICINVENTORY_011	Shuriken	手裏劍	手裏剣
MLUA_RELICINVENTORY_012	Old Piano	老舊的鋼琴	古いピアノ
MLUA_RELICINVENTORY_013	Munin	穆寧	ムニン
