MLUA_CARDMANAGER_495	AoE,Multi-target,Slow,Stun,Bonus damage	範圍,多目標,緩速,暈眩,追加傷害	範囲,複数対象,スロー,スタン,追加ダメージ
MLUA_CARDMANAGER_496	Summon,AoE,2-stage hit,Critical	召喚,範圍,2段攻擊,爆擊	召喚,範囲,2段ヒット,クリティカル
MLUA_CARDMANAGER_497	Multi-target,Multi-hit,Chance extra hit	多目標,連擊,機率追加攻擊	複数対象,連撃,確率追加攻撃
MLUA_CARDMANAGER_498	Single,Rapid fire,Chance Enhance,3 hits	單體,連射,機率強化,3連擊	単体,連射,確率強化,3連撃
MLUA_CARDMANAGER_499	Passive,Cooldown Reduction	被動,冷卻減少	パッシブ,クールタイム減少
MLUA_CARDMANAGER_500	Passive,Critical	被動,爆擊	パッシブ,クリティカル
MLUA_CARDMANAGER_501	Passive,Critical Damage	被動,爆擊傷害	パッシブ,クリティカルダメージ
MLUA_CARDMANAGER_502	Passive,Chance extra attack	被動,機率追加攻擊	パッシブ,確率追加攻撃
MLUA_CARDMANAGER_503	Red Potion	紅色藥水	赤いポーション
MLUA_CARDMANAGER_504	White Potion	白色藥水	白いポーション
MLUA_CARDMANAGER_505	Grilled Eel	烤鰻魚	うなぎの蒲焼
MLUA_CARDMANAGER_506	Ice Pop	冰棒	アイスキャンディー
MLUA_CARDMANAGER_507	Elixir	萬能藥水	エリクサー
MLUA_CARDMANAGER_509	Free	免費	無料
MLUA_CARDMANAGER_510	Got a duplicate skill — received 500 Gold!	獲得重複技能，得到了500金幣！	重複スキルを獲得し、ゴールド500を手に入れました！
MLUA_CARDREGISTRY_001	Combo Attack	鬥氣集中	コンボアタック
MLUA_CARDREGISTRY_002	Passive,Chance Stack	被動,機率疊層	パッシブ,確率スタック
MLUA_CARDREGISTRY_003	Slash	斬擊	スラッシュ
MLUA_CARDREGISTRY_004	Multi-hit,Combo Stack	多段攻擊,連擊層數	多段攻撃,コンボスタック
MLUA_CARDREGISTRY_005	Brandish	狂暴攻擊	ブランディッシュ
MLUA_CARDREGISTRY_006	Flash Slash	閃光斬	フラッシュスラッシュ
MLUA_CARDREGISTRY_007	Piercing dash,Combo Stack	穿透移動,連擊層數	貫通移動,コンボスタック
MLUA_CARDREGISTRY_008	Rush	突進	突進
MLUA_CARDREGISTRY_009	Knockback,Collision Damage	擊退,碰撞傷害	ノックバック,衝突ダメージ
MLUA_CARDREGISTRY_010	Aura Blade	靈氣之刃	オーラブレード
MLUA_CARDREGISTRY_011	Raging Blow	憤怒之擊	レイジングブロー
MLUA_CARDREGISTRY_012	Multi-hit	多段攻擊	多段攻撃
MLUA_CARDREGISTRY_013	Leap Attack	跳躍攻擊	リープアタック
MLUA_CARDREGISTRY_014	Bind,Combo Stack	束縛,連擊層數	バインド,コンボスタック
MLUA_CARDREGISTRY_015	Summon,Single hit	召喚獸,單體攻擊	召喚獣,単体攻撃
MLUA_CARDREGISTRY_016	Brave Slash	勇氣斬擊	ブレイブスラッシュ
MLUA_CARDREGISTRY_017	Multi-hit,Combo Stack,Stun	多段攻擊,連擊層數,暈眩	多段攻撃,コンボスタック,スタン
MLUA_CARDREGISTRY_018	Chance Attack	機會攻擊	チャンスアタック
MLUA_CARDREGISTRY_019	Coma	昏迷	コーマ
MLUA_CARDREGISTRY_020	Passive,Explosion Boost	被動,爆炸強化	パッシブ,爆発強化
MLUA_CARDREGISTRY_021	Self Recovery	自我恢復	セルフリカバリー
MLUA_CARDREGISTRY_022	Passive,Recovery	被動,恢復	パッシブ,回復
