FMT_SKILLUPGRADEUI_001	Next level: Lv.{0}⏎{1}	下一等級：Lv.{0}⏎{1}	次のレベル：Lv.{0}⏎{1}
MLUA_ACHIEVEMENTLOGIC_035	Snowfield Hunter	雪原獵人	雪原のハンター
MLUA_ACHIEVEMENTLOGIC_036	Defeat 100 yeti-type monsters	擊敗100隻雪人類怪物	イエティ系モンスターを100体討伐
MLUA_ACHIEVEMENTLOGIC_037	Hidden Secret Found	發現隱藏的秘密	隠された秘密を発見
MLUA_ACHIEVEMENTLOGIC_038	Find 1 Easter Egg	發現1個彩蛋	イースターエッグを1個発見
MLUA_ACHIEVEMENTLOGIC_039	Explorer	探險家	探検家
MLUA_ACHIEVEMENTLOGIC_040	Find 10 Easter Eggs	發現10個彩蛋	イースターエッグを10個発見
MLUA_ACHIEVEMENTLOGIC_041	Secret Collector	秘密收藏家	秘密コレクター
MLUA_ACHIEVEMENTLOGIC_042	Find 50 Easter Eggs	發現50個彩蛋	イースターエッグを50個発見
MLUA_ACHIEVEMENTLOGIC_043	Treasure Hunter	寶藏獵人	トレジャーハンター
MLUA_ACHIEVEMENTLOGIC_044	Open 10 Treasure Chests	打開10個寶箱	宝箱を10個開ける
MLUA_ACHIEVEMENTLOGIC_045	Potion Lover	藥水愛好者	ポーション愛好家
MLUA_ACHIEVEMENTLOGIC_046	Obtain 50 Red/White Potions	獲得50瓶紅色·白色藥水	赤・白ポーションを50個獲得
MLUA_ACHIEVEMENTLOGIC_047	Elixir Collector	萬能藥水收藏家	エリクサーコレクター
MLUA_ACHIEVEMENTLOGIC_048	Obtain 10 Power Elixirs	獲得10瓶超級萬能藥水	パワーエリクサーを10個獲得
MLUA_ACHIEVEMENTLOGIC_049	Buff Maniac	增益狂熱者	バフマニア
MLUA_ACHIEVEMENTLOGIC_050	Obtain 10 Buff Potions	獲得10瓶增益藥水	バフポーションを10個獲得
MLUA_ACHIEVEMENTLOGIC_051	Potion Sommelier	藥水品鑑師	ポーションソムリエ
MLUA_ACHIEVEMENTLOGIC_052	Obtain all 3 types of Buff Potions	獲得全部3種增益藥水	バフポーション3種をすべて獲得
MLUA_ACHIEVEMENTLOGIC_053	Start of an Adventure	冒險的開始	冒険のはじまり
MLUA_ACHIEVEMENTLOGIC_054	Play 10 games	遊玩10場	10回プレイ
MLUA_ACHIEVEMENTLOGIC_055	Veteran Adventurer	老練冒險家	ベテラン冒険家
MLUA_ACHIEVEMENTLOGIC_056	Play 100 games	遊玩100場	100回プレイ
MLUA_ACHIEVEMENTLOGIC_057	Growing Adventurer	成長中的冒險家	成長する冒険家
MLUA_ACHIEVEMENTLOGIC_058	Reach Level 20 in a single run	單場達到等級20	1プレイでレベル20に到達
MLUA_ACHIEVEMENTLOGIC_059	Breaking Limits	突破極限	限界突破
MLUA_ACHIEVEMENTLOGIC_060	Reach Level 50 in a single run	單場達到等級50	1プレイでレベル50に到達
MLUA_ACHIEVEMENTLOGIC_061	Guardian of the Village of Beginnings	起源之村守護者	はじまりの村の守護者
MLUA_ACHIEVEMENTLOGIC_062	Survive 15 min in the Village of Beginnings	在起源之村存活15分鐘	はじまりの村で15分間生存
MLUA_ACHIEVEMENTLOGIC_063	Guardian of the Cloud Garden	雲之庭園守護者	雲の庭園の守護者
