MLUA_DAMAGESKINLOGIC_003	Ghost	幽靈	ゴースト
MLUA_ERRORCODEENUM_010	Failed to load inventory.	無法讀取背包。	インベントリを読み込めませんでした。
MLUA_ERRORCODEENUM_011	Item not found.	找不到道具。	アイテムが見つかりません。
MLUA_ERRORCODEENUM_012	This item can't be used.	無法使用的道具。	使用できないアイテムです。
MLUA_ERRORCODEENUM_013	This equipment can't be used.	無法使用的裝備。	使用できない装備です。
MLUA_ERRORCODEENUM_014	This item is locked.	已鎖定的道具。	ロックされたアイテムです。
MLUA_ERRORCODEENUM_015	This equipment is currently equipped.	正在穿戴的裝備。	装備中の装備です。
MLUA_ERRORCODEENUM_016	This item no longer exists.	已經消失的道具。	すでに消えたアイテムです。
MLUA_ERRORCODEENUM_017	This item can't be discarded.	無法丟棄的道具。	捨てられないアイテムです。
MLUA_ERRORCODEENUM_018	This item has expired.	已過期的道具。	期限切れのアイテムです。
MLUA_ERRORCODEENUM_019	Your level is too low.	等級不足。	レベルが足りません。
MLUA_ERRORCODEENUM_020	This job can't equip this item.	此職業無法穿戴。	この職業は装備できません。
MLUA_ERRORCODEENUM_021	Already equipped.	已經穿戴中。	すでに装備中です。
MLUA_ERRORCODEENUM_022	No equipment to unequip.	沒有可卸下的裝備。	外す装備がありません。
MLUA_ERRORCODEENUM_023	No slot available to equip.	沒有可穿戴的欄位。	装備できる枠がありません。
MLUA_ERRORCODEENUM_024	Not enough items.	道具數量不足。	アイテムの数が足りません。
MLUA_ERRORCODEENUM_025	This item can't be locked.	無法鎖定的道具。	ロックできないアイテムです。
MLUA_ERRORCODEENUM_026	An effect of the same type is already active.	同類型的效果已在作用中。	同じ種類の効果がすでに適用中です。
MLUA_ERRORCODEENUM_027	Failed to receive the item.	無法領取道具。	アイテムを受け取れませんでした。
MLUA_ERRORCODEENUM_028	Failed to delete the item.	無法刪除道具。	アイテムを削除できませんでした。
MLUA_ERRORCODEENUM_029	Equipment inventory is full.	裝備欄已滿。	装備欄がいっぱいです。
MLUA_ERRORCODEENUM_030	Already at the highest grade, so it can't be synthesized.	已是最高等級，無法合成。	すでに最高等級のため合成できません。
MLUA_ERRORCODEENUM_031	This material can't be used for synthesis.	無法用於合成的材料。	合成できない素材です。
